Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
71306,10508915,HZ250645,5/4/2016 7:40,005XX S STATE ST,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,TRUE,FALSE,123,1,2,32,26,1176446,1897964,2016,5/11/2016 15:50,41.87536742,-87.62762099,"(41.875367424, -87.627620993)"
71526,10508950,HZ250642,5/4/2016 2:00,010XX N LAWNDALE AVE,890,THEFT,FROM BUILDING,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1112,11,27,23,6,1151525,1906649,2016,5/11/2016 15:50,41.89972579,-87.71889305,"(41.899725792, -87.71889305)"
71702,10508961,HZ250701,5/4/2016 7:49,085XX W BRYN MAWR AVE,810,THEFT,OVER $500,HOTEL/MOTEL,FALSE,FALSE,1614,16,41,76,6,1118477,1936072,2016,5/11/2016 15:50,41.98105183,-87.83965884,"(41.981051826, -87.839658835)"
71724,10508981,HZ250673,5/4/2016 7:30,009XX W THORNDALE AVE,460,BATTERY,SIMPLE,TAXICAB,FALSE,FALSE,2433,24,48,77,08B,1168600,1939715,2016,5/11/2016 15:50,41.99010759,-87.65521578,"(41.990107594, -87.655215776)"
71896,10509023,HZ250661,5/4/2016 2:00,050XX S MICHIGAN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,224,2,3,38,7,1178010,1871663,2016,5/11/2016 15:50,41.80316011,-87.62267765,"(41.803160112, -87.622677645)"
72050,10509048,HZ250690,5/4/2016 8:11,037XX S HONORE ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,SIDEWALK,FALSE,TRUE,912,9,11,59,26,1164632,1879998,2016,5/11/2016 15:50,41.82632535,-87.67150558,"(41.82632535, -87.671505581)"
72094,10509049,HZ250657,5/4/2016 7:20,052XX S ROCKWELL ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,923,9,14,63,5,1159923,1869928,2016,5/11/2016 15:50,41.79879026,-87.68905898,"(41.798790264, -87.689058976)"
72900,10509050,HZ250739,5/4/2016 8:00,063XX N TALMAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2413,24,50,2,08B,1157512,1941944,2016,5/11/2016 15:50,41.99645774,-87.69593861,"(41.996457737, -87.695938606)"
73272,10509064,HZ250641,5/4/2016 6:50,044XX S TROY ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,FALSE,922,9,14,58,08B,1156108,1875096,2016,5/11/2016 15:50,41.81304957,-87.70291051,"(41.813049566, -87.70291051)"
74684,10509070,HZ250768,5/4/2016 9:00,014XX N LAKE SHORE DR,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,FALSE,FALSE,1824,18,43,8,11,1176800,1910080,2016,5/11/2016 15:50,41.90860635,-87.62595452,"(41.908606347, -87.625954515)"
